무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
20,서울특별시,강북구,일반국도,3번,덕릉로,2,서울특별시 강북구 덕릉로 162,,37.63512592,127.0319081,강북북부시장,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
21,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 255,,37.61960251,127.0213311,올레매장,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
22,서울특별시,강북구,일반국도,3번,솔샘로,2,서울특별시 강북구 솔샘로 277-4,,37.61888848,127.0236597,강북재활용,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
23,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 299,,37.61819609,127.0257436,대광빌딩,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
24,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 315,,37.61739926,127.0273155,신성교회,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
25,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 330,,37.6169845,127.028593,능이마을,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
26,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로48길 17-3,,37.61915975,127.0181775,수마트,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
27,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로27길 61-10,,37.6186198,127.0168001,미아사입구,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
28,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로27길 43,,37.61855058,127.018861,t월드매장,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
29,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로27길 35,,37.61845678,127.0194097,삼양제일교회,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
30,서울특별시,강북구,일반국도,3번,삼양로,2,서울특별시 강북구 삼양로27길 19,,37.61612462,127.0217424,래미안아파트,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
31,서울특별시,강북구,일반국도,3번,월계로,2,서울특별시 강북구 월계로37길 65,,37.62439627,127.0451253,번동한진아파트,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
32,서울특별시,강북구,일반국도,3번,한천로,2,서울특별시 강북구 한천로105길 21,,37.62586611,127.0465898,번3동주민센터,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
35,서울특별시,강북구,일반국도,3번,오패산로,3,서울특별시 강북구 오패산로30길 30,,37.61635549,127.0356169,경남아너스빌 103동,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
36,서울특별시,강북구,일반국도,3번,솔샘로,3,서울특별시 강북구 솔샘로 331,,37.61739162,127.0291006,조이마트,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
37,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 95,,37.6277126,127.0130457,삼흥연립,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
38,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 66,,37.6287011,127.0149752,빨래곳 방앗간,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
39,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로77길 38,,37.6294416,127.0161425,한빛예술단,4,0,,,99,2018,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
40,서울특별시,강북구,일반국도,3번,삼양로,3,서울특별시 강북구 삼양로145길 7,,37.65154554,127.0122203,솔밭근린공원,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
41,서울특별시,강북구,일반국도,3번,솔샘로,1,서울특별시 강북구 솔샘로 229-1,,37.62014362,127.0182276,미양 온누리약국,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
42,서울특별시,강북구,일반국도,3번,인수봉로,3,서울특별시 강북구 인수봉로23가길 3,,37.62770912,127.0118222,SH스카이 아파트,4,0,,,99,2020,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
1,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로8길 32,,37.61215438,127.0318077,심가네맷돌빈대떡,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
2,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로8길 8,,37.61268086,127.0306799,미아사거리역2번출구,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
3,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로10길 46,,37.61464852,127.0310386,롯데백화점 후문,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
4,서울특별시,강북구,일반국도,2번,도봉로,1,서울특별시 강북구 도봉로10길 73,,37.61594812,127.0306631,"현주스킨,바디",4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
5,서울특별시,강북구,일반국도,2번,오현로,1,서울특별시 강북구 오현로21길 88,,37.62517872,127.0330457,주차장위쪽,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
6,서울특별시,강북구,일반국도,2번,오현로,1,서울특별시 강북구 오현로21길 76,,37.612849,127.034268,주차장 코너,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
7,서울특별시,강북구,일반국도,2번,오현로,1,서울특별시 강북구 오현로21길 62,,37.62530821,127.0339339,주차장 아래쪽,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
8,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로67길 18,,37.63072764,127.0226665,수유시장 주차장 입구,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
9,서울특별시,강북구,일반국도,3번,도봉로,2,서울특별시 강북구 도봉로67길 18,,37.63072764,127.0226665,수유시장 상가 입구,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
10,서울특별시,강북구,일반국도,3번,오현로,2,서울특별시 강북구 오현로 128,,37.62410326,127.0379751,동문아파트,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
11,서울특별시,강북구,일반국도,3번,월계로,2,서울특별시 강북구 월계로 173,,37.62025563,127.0443254,아트센터1,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
12,서울특별시,강북구,일반국도,3번,도봉로,2,서울특별시 강북구 도봉로 338,,37.612849,127.030592,파리바게뜨,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
13,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로 338,,37.612849,127.030592,삼천리자전거,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
14,서울특별시,강북구,일반국도,3번,도봉로,1,서울특별시 강북구 도봉로 338,,37.612849,127.030592,고신경외과,4,0,,,99,2013,서울특별시 강북구청,02-901-5964,2021-11-03,3080000,서울특별시 강북구
주차56,서울특별시,강동구,시도,0,아리수로,1,서울특별시 강동구 아리수로50길 50,서울특별시 강동구 고덕동 688,37.55768914,127.149669,두레근린공원사거리,4,0,,200,,2019,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차57,서울특별시,강동구,시도,0,성안로,2,서울특별시 강동구 성안로 76,서울특별시 강동구 성내동 409-3,37.530378,127.132033,농협입구교차로,4,0,,200,,2019,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차60,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로80길 7,서울특별시 강동구 상일동 520-2,37.556539,127.165508,상일파출소 앞,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차65,서울특별시,강동구,시도,0,상일로,2,서울특별시 강동구 상일로15길 24,서울특별시 강동구 고덕동 193-3,37.558169,127.169929,고덕센트럴푸르지오,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차67,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로80길 123,서울특별시 강동구 상일동 513,37.55093094,127.1655961,강동고교입구 교차로,4,0,,200,,2020,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차68,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1043,서울특별시 강동구 천호동 452-1,37.53762206,127.1281051,미즈병원 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차69,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1057,서울특별시 강동구 천호동 451-20,37.5372532,127.1295038,트레벨 오피스텔 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차70,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1131,서울특별시 강동구 길동 457-4,37.53479148,127.1372467,길동 기업은행 앞,4,0,,200,,2015,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주정차단속-097,서울특별시,마포구,구도,48,월드컵북로,3,서울특별시 마포구 월드컵북로 332,,37.57588127,126.8949827,서동한우 주변,4,0,,,,2016,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-100,서울특별시,마포구,구도,없음,양화로18길,3,서울특별시 마포구 양화로18길 3,,37.557138,126.9245703,홍대입구역 8번출구 주변,4,0,,,,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-102,서울특별시,마포구,구도,없음,마포대로11길,3,서울특별시 마포구 마포대로11길 84,,37.548872,126.950461,마포현대아파트 상가 주변,4,0,,,,2019,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-103,서울특별시,마포구,구도,없음,대흥로,3,서울특별시 마포구 대흥로 104,,37.549023,126.942999,세헌오피스텔 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-104,서울특별시,마포구,구도,없음,신촌로,3,서울특별시 마포구 신촌로 182,,37.555331,126.945844,신촌그랑자이 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-105,서울특별시,마포구,구도,없음,양화로,3,서울특별시 마포구 양화로 72,,37.551297,126.916565,효성해링턴타워(서교빌딩 쪽) 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-106,서울특별시,마포구,구도,없음,양화로,3,서울특별시 마포구 양화로 72,,37.550898,126.916033,효성해링턴타워(한동빌딩 쪽) 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주정차단속-107,서울특별시,마포구,구도,없음,어울마당로,3,서울특별시 마포구 어울마당로 65,,37.550707,126.921242,홍대 상상마당 주변,4,0,,,,2020,마포구청,02-3153-9655,2020-10-29,3130000,서울특별시 마포구
주차37,서울특별시,강동구,시도,0,상암로,3,서울특별시 강동구 상암로 200,서울특별시 강동구 명일동 346-6,37.5461434,127.1445334,돼지갈비 마포집 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차38,서울특별시,강동구,시도,0,성내로,3,서울특별시 강동구 성내로 22,서울특별시 강동구 성내동 552,37.5295605,127.1228007,국민은행 강동구청지점,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차39,서울특별시,강동구,시도,0,고덕로,3,서울특별시 강동구 고덕로 262,서울특별시 강동구 명일동 46-2,37.55466775,127.1546203,고덕역4번출구,4,0,,200,,2009,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차40,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1385,서울특별시 강동구 성내동 415-1,37.5298053,127.1365795,둔촌교회 앞 정관장,4,0,,200,,2009,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차41,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1410,서울특별시 강동구 둔촌동 486-7,37.531707,127.1381235,준영빌딩 앞,4,0,,200,,2009,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차42,서울특별시,강동구,시도,0,구천면로,2,서울특별시 강동구 구천면로 140,서울특별시 강동구 천호동 469-1,37.5422272,127.1204672,천호지구대 건너편,4,0,,200,,2009,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차43,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1237,서울특별시 강동구 길동 221-7,37.5367028,127.1481184,길동자이아파트,4,0,,200,,2011,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차44,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1487,서울특별시 강동구 상일동 358-5,37.54725205,127.1730895,상일초교 주변,4,0,,200,,2011,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차45,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1476,서울특별시 강동구 상일동 431-3,37.5460515,127.1722204,상일육교 앞,4,0,,200,,2012,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차48,서울특별시,강동구,시도,0,진황도로,2,서울특별시 강동구 진황도로 98,서울특별시 강동구 길동 456,37.5356928,127.137011,KT강동지사 입구,4,0,,200,,2014,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차49,서울특별시,강동구,시도,0,천중로,1,서울특별시 강동구 천중로43길 75,서울특별시 강동구 천호동 43-74,37.544328,127.1415811,만나하우스,4,0,,200,,2014,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차52,서울특별시,강동구,시도,0,올림픽로,3,서울특별시 강동구 올림픽로721,서울특별시 강동구 천호동 323-6,37.5457433,127.125758,천호공원 사거리,4,0,,200,,2017,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차53,서울특별시,강동구,시도,0,상일로,3,서울특별시 강동구 상일로 21,서울특별시 강동구 상일동 284-7,37.5489164,127.1729356,삼성엔지니어링 입구 사거리,4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차54,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1032,서울특별시 강동구 성내동 9-5,37.5373037,127.1265119,국민은행 천호역지점 앞,4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차55,서울특별시,강동구,시도,0,아리수로,3,서울특별시 강동구 아리수로 426,서울특별시 강동구 강일동 565,37.5637274,127.1746656,"강일3,6단지 교차로",4,0,,200,,2018,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차13,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1339,서울특별시 강동구 성내동 429-2,37.5259147,127.1349952,삼오빌딩,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차14,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1349,서울특별시 강동구 성내동 428-6,37.52672222,127.1353506,강동농협 둔촌역지점,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차15,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1367,서울특별시 강동구 성내동 416-4,37.528263,127.135999,둔촌역4번출구,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차16,서울특별시,강동구,시도,0,성안로,3,서울특별시 강동구 성안로 147,서울특별시 강동구 천호동 447-7,37.53645328,127.134588,성심약국 앞,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차17,서울특별시,강동구,시도,0,성안로,2,서울특별시 강동구 성안로 180,서울특별시 강동구 길동 383-9,37.538917,127.136256,동부교통 맞은편,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차18,서울특별시,강동구,시도,0,천중로,3,서울특별시 강동구 양재대로 1517,서울특별시 강동구 천호동 51-7,37.5412029,127.140802,남해빌딩,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차19,서울특별시,강동구,시도,0,고덕로,2,서울특별시 강동구 고덕로 391,서울특별시 강동구 고덕동 210-5,37.557185,127.168996,상일역3번출구,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차21,서울특별시,강동구,시도,0,천중로,2,서울특별시 강동구 명일로24길 33,서울특별시 강동구 길동 42,37.54182637,127.1492982,신명초교 남측 생태공원방면,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차22,서울특별시,강동구,시도,0,동남로,3,서울특별시 강동구 동남로 892,서울특별시 강동구 상일동 149,37.5528301,127.1571983,경희대병원앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차23,서울특별시,강동구,구도,0,아리수로93길,2,서울특별시 강동구 아리수로93길 41,서울특별시 강동구 강일동 665-3,37.56621785,127.1732707,강일동 청소년수련관 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차25,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1522,서울특별시 강동구 길동 347-12,37.541489,127.1416617,동호빌딩 앞,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차26,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1588,서울특별시 강동구 명일동 345-20,37.547269,127.1436574,연우빌딩 앞 청담어학원,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차27,서울특별시,강동구,시도,0,양재대로,2,서울특별시 강동구 양재대로 1601,서울특별시 강동구 천호동 30-5,37.54856188,127.143303,장수빌딩 앞 명성동물병원,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차28,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1618,서울특별시 강동구 명일동 324-14,37.549804,127.1440657,우리은행 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차29,서울특별시,강동구,시도,0,양재대로,2,서울특별시 강동구 양재대로 1641,서울특별시 강동구 명일동 312-42,37.552068,127.1438411,명일역2번출구,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차30,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1655,서울특별시 강동구 명일동 306-5,37.5533158,127.1439183,마리나웨딩홀 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차31,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1159,서울특별시 강동구 길동 424,37.5340414,127.140079,양병원 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차32,서울특별시,강동구,시도,0,고덕로,2,서울특별시 강동구 고덕로 101,서울특별시 강동구 암사동 451-12,37.554905,127.1367144,이마트에브리데이 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차33,서울특별시,강동구,시도,0,고덕로,2,서울특별시 강동구 고덕로 109,서울특별시 강동구 암사동 451-18,37.554825,127.137492,강일중학교,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차34,서울특별시,강동구,시도,0,올림픽로,3,서울특별시 강동구 올림픽로 586,서울특별시 강동구 성내동 112-64,37.5337906,127.1220349,아트전기조명 앞,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차35,서울특별시,강동구,시도,0,올림픽로,3,서울특별시 강동구 올림픽로 602,서울특별시 강동구 성내동 112-69,37.535261,127.1225284,풍국타올,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차36,서울특별시,강동구,시도,0,구천면로,2,서울특별시 강동구 구천면로 196,서울특별시 강동구 천호동 417-5,37.5404532,127.1263224,2001아울렛 건너편,4,0,,200,,2008,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차04,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1453,서울특별시 강동구 길동 413-46,37.535621,127.138866,길동역 옛고을,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차05,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1466,서울특별시 강동구 길동 411-1,37.536757,127.139856,길동역 3번출구 앞,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차06,서울특별시,강동구,시도,0,양재대로,3,서울특별시 강동구 양재대로 1556,서울특별시 강동구 길동 320-4,37.5444011,127.142739,굽은다리역3번출구,4,0,,200,,2009,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차07,서울특별시,강동구,시도,0,올림픽로,2,서울특별시 강동구 올림픽로 769,서울특별시 강동구 암사동 512-17,37.5499258,127.127169,우리은행 암사역점,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차08,서울특별시,강동구,시도,0,동남로,3,서울특별시 강동구 동남로 895,서울특별시 강동구 명일동 47-30,37.553619,127.1560736,명일이마트 앞,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차09,서울특별시,강동구,시도,0,천호대로,3,서울특별시 강동구 천호대로 1015,서울특별시 강동구 천호동 455,37.53850411,127.1251077,현대백화점 주변,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차10,서울특별시,강동구,시도,0,올림픽로,3,서울특별시 강동구 올림픽로 654,서울특별시 강동구 천호동 429-2,37.5397815,127.1241882,롯데리아 천호역점,4,0,,200,,2005,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
주차11,서울특별시,강동구,시도,0,천호대로,2,서울특별시 강동구 천호대로 987,서울특별시 강동구 천호동 458-3,37.5393821,127.122345,현대오일뱅크,4,0,,200,,2006,서울특별시 강동구청,02-3425-6317,2021-08-24,3240000,서울특별시 강동구
F9335,서울특별시,구로구,특별시도,,사가정로,2,서울특별시 구로구 오리로,서울특별시 구로구 오류동 213-4,37.48825,126.836806,오남중학교 입구,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청
F9338,서울특별시,동작구,특별시도,,노량진로,2,서울특별시 동작구 노량진로 148,,37.513503,126.942742,동작경찰서 앞 삼거리,2,50,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청
F9339,서울특별시,마포구,특별시도,,가양대로,1,서울특별시 마포구 가양대로,서울특별시 마포구 상암동 1694-4,37.583334,126.882516,월드컵파크7단지 교차로,2,60,,,99,2016,서울지방경찰청,02-700-5031,2020-05-31,1320000,경찰청
